ID,YEAR,COUNTRY,MAGNITUDE
141,553,LEBANON,
5892,554,TURKEY,
143,555,TURKEY,
145,557,TURKEY,
5893,557,TURKEY,
9971,557,TURKEY,7
146,558,TURKEY,7
147,558,ITALY,
148,565,TURKEY,
149,567,SLOVENIA,
150,579,TURKEY,
151,581,TURKEY,
152,587,TURKEY,
154,600,CHINA,
155,614,ITALY,
156,634,IRAN,
158,649,CHINA,5.5
159,662,IRAN,
160,664,SOUTH KOREA,6.3
161,678,IRAQ,
162,684,JAPAN,8.4
163,688,TURKEY,
5894,701,JAPAN,7
5895,704,JAPAN,7
166,713,TURKEY,
167,715,TURKEY,
168,716,TURKEY,
169,734,CHINA,7
170,735,ARMENIA,5.8
171,740,TURKEY,7.3
172,742,SYRIA,
174,743,RUSSIA,5.5
173,743,IRAN,7.2
9810,744,JAPAN,6.4
175,745,JAPAN,7.9
5896,745,JAPAN,6.5
177,746,ISRAEL,7
178,748,SYRIA,
180,749,IRAQ,
181,758,ISRAEL,
183,763,IRAN,7.6
7341,766,JAPAN,6.5
185,777,CHINA,
187,778,ITALY,5.6
7901,778,CHINA,
188,780,SOUTH KOREA,6.3
190,788,CHINA,6.5
192,793,ITALY,
193,796,GREECE,
196,801,ITALY,
198,802,ITALY,
5897,803,TURKEY,
199,811,UK,
200,814,CHINA,7
202,818,AFGHANISTAN,7.5
5898,818,JAPAN,7.9
205,820,CHINA,
206,835,TURKEY,
207,838,UZBEKISTAN,
8262,842,UK,
208,844,SYRIA,
209,845,IRAQ,
210,846,TURKEY,
215,847,ITALY,
216,847,SYRIA,
211,847,IRAQ,
217,850,IRAN,
5899,850,JAPAN,7
218,851,ARMENIA,5.2
219,853,ITALY,
222,854,TUNISIA,
221,854,FRANCE,
220,854,ARMENIA,
224,855,IRAN,
225,856,ARMENIA,4.5
230,856,TUNISIA,
232,856,IRAN,7.9
227,856,GREECE,
8179,857,EGYPT,
234,858,TURKEY,5.2
235,858,IRAN,
238,859,TURKEY,
240,860,IRAQ,
242,863,IRAN,
243,863,TURKEY,4.9
7342,863,JAPAN,7
241,863,IRAN,
244,864,IRAN,
245,867,TURKEY,
247,869,JAPAN,8.6
254,871,IRAN,6.8
259,876,CHINA,6.5
260,881,ALGERIA,
261,885,EGYPT,
5900,887,JAPAN,6.5
262,887,JAPAN,8.6
263,891,IRAN,6.3
268,893,ARMENIA,
270,894,ITALY,5.3
272,896,MACEDONIA,
271,896,ITALY,
273,898,IRAN,
274,910,IRAQ,
275,912,IRAN,
5901,922,JAPAN,7
276,942,UZBEKISTAN,6.7
277,942,IRAN,
280,943,TURKMENISTAN,
281,951,SYRIA,
282,953,TURKMENISTAN,7.1
284,956,IRAN,
286,957,IRAQ,
287,957,IRAN,
290,958,IRAN,
293,958,IRAQ,
294,963,ITALY,
295,972,TURKEY,
297,977,IRAN,
298,978,IRAN,5.3
299,985,ITALY,
300,986,IRAQ,
303,990,ITALY,
304,991,SYRIA,
7902,999,CHINA,
7904,999,CHINA,5.5
306,1000,SLOVENIA,
307,1000,CHINA,
309,1001,CHINA,
308,1001,ITALY,6
312,1003,FRANCE,
311,1003,TURKEY,4.2
316,1007,IRAQ,
318,1008,IRAN,6.5
319,1010,TURKEY,
321,1013,ICELAND,
322,1021,SWITZERLAND,
7905,1022,CHINA,6.5
5902,1026,JAPAN,7.5
8156,1033,SYRIA,
325,1036,NORTH KOREA,5.7
326,1037,CHINA,
327,1038,CHINA,7.3
8237,1039,TURKEY,6.8
330,1040,TUNISIA,
333,1042,IRAN,
335,1042,IRAN,7.6
336,1045,TURKEY,
337,1046,TURKEY,5.5
338,1048,UK,
341,1052,IRAN,
339,1052,IRAN,
344,1057,CHINA,6.8
348,1058,IRAQ,
351,1063,LEBANON,
352,1063,TURKEY,
353,1064,TURKEY,
354,1065,ITALY,
355,1065,IRAN,
356,1066,IRAN,
359,1067,CHINA,6.8
361,1068,ISRAEL,
362,1068,CHINA,6
364,1070,EGYPT,
365,1072,YEMEN,
366,1076,SYRIA,
367,1082,TURKEY,
369,1085,TURKEY,
368,1085,IRAN,
371,1086,IRAQ,
370,1086,ITALY,
372,1088,GEORGIA,5.3
5904,1088,JAPAN,7
373,1089,SYRIA,
374,1091,TURKEY,
375,1096,JAPAN,8.4
7381,1099,JAPAN,8.4
376,1101,IRAN,6.5
377,1102,CHINA,
379,1102,AFGHANISTAN,6.1
380,1106,TURKEY,
381,1109,TURKEY,
382,1111,TURKEY,
385,1114,TURKEY,
9985,1114,ITALY,
383,1114,TURKEY,
387,1115,IRAN,
388,1115,TURKEY,
389,1115,TURKEY,
390,1117,ITALY,
391,1117,ITALY,
7261,1118,UK,
392,1119,IRAN,6.5
7906,1125,CHINA,7
393,1125,ITALY,
394,1130,IRAQ,
395,1130,IRAQ,
398,1137,IRAQ,
397,1137,ITALY,
402,1139,AZERBAIJAN,
405,1143,CHINA,6
406,1149,IRAQ,
407,1151,SYRIA,6.2
408,1151,PORTUGAL,
409,1153,GREECE,
412,1155,ITALY,
411,1155,SYRIA,
413,1156,SYRIA,
415,1157,SYRIA,
416,1158,SYRIA,
417,1160,ISRAEL,6.1
418,1164,ICELAND,
421,1169,ITALY,
419,1169,SYRIA,
422,1171,LEBANON,
9807,1172,ITALY,
424,1175,IRAN,
423,1175,TURKMENISTAN,7.1
425,1176,IRAN,
426,1179,TURKEY,
427,1180,ITALY,
429,1182,ICELAND,
428,1182,SYRIA,6.7
430,1183,SYRIA,
432,1184,ITALY,
435,1201,SLOVENIA,
440,1202,SYRIA,7.6
442,1202,CHINA,
444,1208,IRAN,6.5
445,1208,TURKMENISTAN,6.1
448,1209,CHINA,6.3
447,1209,IRAN,7.6
450,1211,EGYPT,
451,1219,CHINA,6.5
5936,1222,CYPRUS,
452,1222,ITALY,
454,1223,ITALY,
8091,1227,CHINA,5.5
455,1227,FRANCE,
9981,1231,TURKEY,6.9
457,1231,ITALY,
458,1233,ITALY,5.6
460,1237,ALBANIA,
461,1237,IRAN,
459,1237,ALBANIA,
5937,1241,JAPAN,7
462,1248,ITALY,
9947,1255,NEPAL,
5939,1257,JAPAN,7
5938,1257,JAPAN,7.5
463,1259,ITALY,
464,1267,IRAN,5.8
465,1268,TURKEY,
9952,1269,TURKEY,
470,1272,IRAN,
7798,1273,ALBANIA,6.5
471,1273,ITALY,
472,1275,GEORGIA,6.7
473,1276,MOROCCO,
474,1277,ITALY,5.1
477,1279,ITALY,
478,1280,IRAN,
479,1280,CROATIA,
480,1280,CROATIA,
481,1281,IRAN,5.8
482,1283,GEORGIA,6.3
483,1284,SYRIA,
484,1286,FRANCE,
485,1289,CHINA,
486,1289,FRANCE,
488,1290,CHINA,6.8
490,1291,IRAN,
491,1291,CHINA,6.5
492,1293,ISRAEL,
494,1293,JAPAN,7.1
495,1295,SWITZERLAND,
496,1295,SWITZERLAND,
497,1298,ITALY,
500,1300,CROATIA,
498,1300,IRAN,6.5
499,1300,ITALY,
501,1301,IRAN,
5940,1303,GREECE,
503,1303,CHINA,8
7979,1304,IRAN,6.7
506,1305,CHINA,6.5
509,1306,CHINA,6.5
507,1306,IRAN,
508,1306,GREECE,
513,1310,CHINA,
511,1310,IRAQ,5.5
514,1314,CHINA,6
516,1319,IRAN,
517,1319,ITALY,
518,1320,PORTUGAL,
519,1323,CROATIA,
7908,1327,CHINA,4.8
520,1328,ITALY,
9973,1329,ITALY,
5941,1331,JAPAN,7
6016,1332,TURKEY,
522,1336,IRAN,
524,1336,IRAN,7.6
7909,1337,CHINA,6.5
525,1339,LEBANON,
526,1340,CHINA,
9986,1341,UKRAINE,6
5942,1341,JAPAN,7
527,1343,SYRIA,
528,1343,CROATIA,
529,1343,CHINA,
531,1344,IRAN,
5943,1344,TURKEY,6.9
530,1344,PORTUGAL,
532,1345,ITALY,
533,1346,SWITZERLAND,
534,1347,CHINA,
536,1348,AUSTRIA,
540,1349,ITALY,
542,1350,GEORGIA,6.5
7910,1351,CHINA,5.5
7911,1352,CHINA,7
543,1352,ITALY,
545,1353,TURKEY,
546,1354,SYRIA,
547,1356,PORTUGAL,
551,1356,SWITZERLAND,
550,1356,FRANCE,
552,1358,YEMEN,
9917,1359,ALGERIA,
6003,1360,JAPAN,7
553,1360,IRAN,
555,1361,ITALY,
556,1361,JAPAN,8.4
7912,1361,CHINA,5
8150,1365,ALGERIA,
557,1367,IRAN,
7913,1368,CHINA,6
558,1372,CHINA,4.8
559,1374,SPAIN,
560,1375,SWITZERLAND,
561,1377,YEMEN,
562,1380,ALBANIA,
563,1382,IRAN,
564,1383,TURKEY,
566,1384,GREECE,
567,1385,NORTH KOREA,6.3
568,1386,BOSNIA-HERZEGOVINA,
569,1387,CROATIA,
8180,1387,YEMEN,
570,1389,IRAN,5.8
571,1389,IRAN,
572,1389,IRAN,7.6
573,1389,GREECE,
574,1390,UZBEKISTAN,6.1
575,1390,CROATIA,
576,1391,SWITZERLAND,
577,1399,CROATIA,
580,1400,IRAN,
578,1400,IRAN,
581,1402,SYRIA,
6015,1403,SYRIA,
5944,1403,JAPAN,7
582,1404,SYRIA,
583,1405,IRAN,6.7
7382,1406,JAPAN,6.2
584,1407,TURKEY,
5945,1408,JAPAN,7
585,1408,TURKEY,
587,1414,ITALY,
588,1417,ITALY,
589,1418,CROATIA,
5954,1419,TURKEY,
590,1426,YEMEN,
591,1427,SPAIN,
593,1428,FRANCE,
594,1431,SPAIN,
5946,1433,JAPAN,7.1
596,1440,CHINA,6.3
595,1440,IRAN,6.5
597,1441,IRAN,
598,1441,TURKEY,
599,1443,SLOVAKIA,
601,1444,BULGARIA,
600,1444,TURKEY,
7914,1445,CHINA,6.3
602,1447,ITALY,
5947,1448,JAPAN,7
603,1451,CROATIA,
604,1454,SWITZERLAND,
605,1454,SWITZERLAND,
606,1455,SOUTH KOREA,6.3
608,1456,SERBIA AND MONTENEGRO,
609,1456,TURKEY,
611,1456,ITALY,
615,1457,ISRAEL,
618,1458,ISRAEL,
616,1458,TURKEY,
620,1459,CROATIA,
621,1461,ITALY,
622,1461,ITALY,
8181,1463,YEMEN,
624,1464,SPAIN,
625,1469,GREECE,
628,1471,CROATIA,
626,1471,PERU,8
629,1475,KYRGYZSTAN,6.4
7915,1478,CHINA,5.5
630,1479,CROATIA,
635,1481,GREECE,7.1
633,1481,CHINA,6
634,1481,ITALY,
9808,1481,GREECE,
9809,1481,GREECE,
638,1482,CROATIA,
637,1482,TURKEY,7.5
636,1482,IRAN,6.5
639,1483,IRAN,7.7
640,1483,GREECE,
7916,1484,CHINA,6.8
641,1484,IRAN,
642,1485,IRAN,6.5
643,1487,CHINA,6.3
7917,1488,CHINA,5.5
5948,1489,TURKEY,
644,1490,UZBEKISTAN,5.8
645,1490,GREECE,
9869,1490,IRELAND,
646,1491,GREECE,
647,1493,IRAN,6.5
648,1493,GREECE,
7918,1494,CHINA,5.5
649,1494,FRANCE,
650,1494,FRANCE,
6011,1494,GREECE,7.2
7919,1495,CHINA,6.3
651,1495,JAPAN,7.1
652,1496,CROATIA,
6031,1498,JAPAN,6.4
5949,1498,VENEZUELA,
7383,1498,JAPAN,8.3
653,1498,JAPAN,7.5
655,1499,CHINA,
656,1500,CHINA,
6697,1500,USA,
658,1501,CHINA,7
657,1501,GREECE,
660,1502,CROATIA,
661,1502,CHINA,6.5
659,1502,DOMINICAN REPUBLIC,
662,1504,SWITZERLAND,
664,1504,SPAIN,
665,1504,CROATIA,
667,1505,AFGHANISTAN,
7926,1505,CHINA,5
666,1505,SLOVENIA,
7927,1507,CHINA,5.3
668,1508,GREECE,
669,1509,ITALY,
6004,1509,CHINA,
670,1509,TURKEY,7.7
671,1509,SLOVENIA,
672,1509,TURKEY,
674,1510,GERMANY,
5950,1510,JAPAN,6.7
6017,1510,JAPAN,7
673,1510,SLOVENIA,
677,1511,SLOVENIA,6.5
678,1511,ITALY,
7928,1511,CHINA,5.8
7929,1512,CHINA,6.5
679,1512,SWITZERLAND,
680,1513,PERU,8.7
681,1514,GREECE,
7930,1514,CHINA,5.5
682,1515,CHINA,7
684,1515,CHINA,
685,1516,CROATIA,
686,1516,CROATIA,
687,1516,ROMANIA,
7932,1517,CHINA,5.5
688,1518,NORTH KOREA,6.7
689,1518,SPAIN,
691,1520,CHINA,5.5
5951,1520,JAPAN,7
690,1520,CHILE,
695,1522,SPAIN,
697,1523,MEXICO,
9881,1524,INDIA,
698,1527,IRAN,
699,1530,CROATIA,
701,1530,VENEZUELA,8
704,1531,PORTUGAL,7.7
8092,1531,CHINA,4.8
706,1535,CHINA,5
707,1536,CHINA,7.3
9790,1537,MEXICO,
709,1538,ITALY,
708,1538,MEXICO,
7933,1539,CHINA,5.5
5952,1539,HONDURAS,
5953,1541,VENEZUELA,
710,1542,MEXICO,
711,1542,ITALY,
713,1542,ITALY,6.6
716,1543,CHILE,
715,1543,VENEZUELA,
6037,1545,JAPAN,
717,1545,CHINA,
718,1546,ISRAEL,7
720,1547,AZORES (PORTUGAL),
721,1549,IRAN,
722,1550,IRAN,
723,1550,ITALY,
724,1551,PORTUGAL,
7934,1551,CHINA,5
727,1552,PERU,7.6
728,1553,SOUTH KOREA,6.3
730,1555,PERU,8.4
729,1555,MACEDONIA,
732,1556,CHINA,8
733,1556,AUSTRIA,
734,1556,TURKEY,
735,1556,TURKEY,
736,1556,ECUADOR,7.6
7940,1560,CHINA,5.5
737,1560,CHINA,5.5
738,1561,CHINA,7.3
739,1561,ITALY,
741,1561,CHINA,
742,1561,ITALY,
744,1562,CHILE,8
745,1563,SERBIA AND MONTENEGRO,
746,1564,DOMINICAN REPUBLIC,
750,1564,FRANCE,5.8
9788,1565,GUATEMALA,
9789,1566,GUATEMALA,
751,1566,COLOMBIA,7.8
752,1566,IRAN,
753,1568,CHINA,6
754,1568,CHINA,6.8
755,1568,MEXICO,
757,1570,CHILE,8.3
758,1570,ITALY,
759,1571,CHINA,6
7941,1573,CHINA,6.8
760,1573,MEXICO,
762,1574,SWITZERLAND,
763,1574,CROATIA,
761,1574,IRAN,
765,1575,ECUADOR,7.8
767,1575,CHILE,8.5
6878,1576,EL SALVADOR,
768,1577,CHINA,6.5
769,1578,PERU,
7942,1579,CHINA,5
770,1579,MOROCCO,
771,1580,UK,6.2
773,1581,PERU,6.4
776,1582,PERU,8.2
777,1582,PERU,7.8
774,1582,ITALY,
779,1584,SWITZERLAND,
780,1584,SWITZERLAND,
781,1584,SWITZERLAND,
782,1584,PERU,8.4
5957,1586,JAPAN,8.2
783,1586,CHINA,5.5
786,1586,PERU,8.5
9787,1586,GUATEMALA,
787,1587,PERU,6.2
788,1587,ECUADOR,
791,1587,PORTUGAL,
792,1588,CHINA,6
793,1588,IRAN,
6038,1589,JAPAN,6.7
7935,1589,SPAIN,
796,1590,CHINA,5.5
797,1590,CROATIA,
798,1590,ECUADOR,
799,1590,CROATIA,
801,1590,AUSTRIA,6.6
795,1590,PERU,7.7
802,1591,AZORES (PORTUGAL),
803,1593,FRANCE,
804,1594,PERU,
808,1596,JAPAN,6.9
810,1597,PORTUGAL,
5958,1597,JAPAN,6.4
811,1598,PORTUGAL,
812,1599,PHILIPPINES,
814,1600,PERU,7.9
815,1600,PERU,8.1
7943,1600,CHINA,7
816,1600,PHILIPPINES,
818,1601,PHILIPPINES,
819,1601,SWITZERLAND,6.2
5959,1602,JAPAN,7.2
820,1603,MEXICO,
822,1604,MEXICO,
826,1604,PERU,8.5
831,1604,CHINA,8
830,1604,CHILE,
821,1604,GREECE,
833,1605,JAPAN,7.9
834,1605,JAPAN,7.9
835,1605,CHINA,7.5
836,1606,CHINA,6.5
837,1608,MEXICO,
838,1608,IRAN,7.6
839,1608,SERBIA AND MONTENEGRO,
840,1608,SERBIA AND MONTENEGRO,
842,1608,MACEDONIA,
844,1609,CHINA,7.3
846,1609,PERU,8.6
843,1609,ITALY,
849,1610,VENEZUELA,7.9
852,1610,SWITZERLAND,
851,1610,PHILIPPINES,
853,1611,MEXICO,
7944,1611,CHINA,5.5
854,1611,MEXICO,
855,1611,JAPAN,
856,1611,JAPAN,8.1
860,1611,IRAN,
861,1612,GREECE,
6026,1612,GREECE,
863,1613,SOUTH KOREA,6.3
865,1613,ITALY,5.6
862,1613,GREECE,
867,1614,AZORES (PORTUGAL),
868,1614,AZORES (PORTUGAL),
7945,1614,CHINA,6.5
869,1614,JAPAN,7.7
6008,1615,UKRAINE,5.7
871,1615,JAPAN,6.4
872,1615,USA TERRITORY,
874,1615,CHILE,7.5
876,1616,SWITZERLAND,
877,1616,JAPAN,7
5960,1616,JAPAN,7.5
875,1616,SYRIA,
7946,1618,CHINA,6.5
879,1618,INDIA,
880,1618,FRANCE,
881,1618,SWITZERLAND,
882,1618,IRAN,
884,1619,MEXICO,
885,1619,PERU,8.6
5961,1619,JAPAN,6.4
889,1619,PHILIPPINES,
883,1619,GERMANY,
891,1620,UZBEKISTAN,5.8
890,1620,PHILIPPINES,
7947,1621,CHINA,5.5
892,1621,PANAMA,
893,1622,GREECE,
894,1622,MEXICO,
895,1622,SWITZERLAND,
896,1622,SWITZERLAND,
897,1622,CHINA,7
902,1624,ITALY,
900,1624,MOROCCO,
903,1625,GREECE,
904,1626,ITALY,
905,1626,CHINA,7
907,1626,ITALY,
7948,1627,CHINA,6
908,1627,ECUADOR,
910,1627,ITALY,6.7
5962,1627,PHILIPPINES,8
913,1628,SLOVENIA,5
8094,1628,CHINA,6.3
912,1628,PHILIPPINES,
5964,1629,GREECE,7
5965,1629,INDONESIA,
915,1629,GERMANY,
7949,1630,CHINA,6.3
916,1630,GREECE,
919,1630,PERU,8.1
9392,1630,INDONESIA,
920,1631,ETHIOPIA,5.7
7950,1631,CHINA,6
7951,1631,CHINA,5
7952,1631,CHINA,6.5
9756,1631,ITALY,
921,1632,CROATIA,
925,1633,JAPAN,7.1
5966,1633,CHILE,
926,1633,GREECE,6.9
923,1633,IRAN,
927,1634,CHINA,6
7953,1634,CHINA,5.5
930,1634,CHINA,5.5
929,1636,GREECE,7.2
10001,1636,GREECE,
931,1636,GHANA,5.7
932,1636,PHILIPPINES,
934,1638,ITALY,7
8245,1638,ITALY,
937,1639,IRAN,
938,1639,CROATIA,
940,1639,ITALY,
941,1639,CHILE,
945,1640,IRAN,5.1
944,1640,ECUADOR,
7887,1640,GERMANY,
8246,1640,ITALY,
942,1640,JAPAN,6.5
5967,1640,CHINA,
943,1640,SLOVENIA,
948,1641,PHILIPPINES,
949,1641,ECUADOR,7.6
950,1641,IRAN,
952,1641,VENEZUELA,
7954,1641,CHINA,5.8
947,1641,BULGARIA,
7955,1642,CHINA,6
6019,1642,JAPAN,6.7
5968,1643,SOUTH KOREA,6.5
954,1644,COLOMBIA,7
956,1644,FRANCE,
957,1644,VENEZUELA,
5969,1644,JAPAN,6.9
959,1645,ECUADOR,7.5
961,1645,PHILIPPINES,8
963,1645,PHILIPPINES,
964,1646,TURKEY,
9979,1646,ITALY,5.2
5970,1646,TURKEY,
965,1646,ITALY,
966,1646,JAPAN,7.6
5971,1647,PERU,
970,1647,CHILE,8.5
972,1647,JAPAN,6.4
976,1648,TURKEY,
975,1648,CROATIA,
973,1648,NICARAGUA,
974,1648,PHILIPPINES,
9982,1649,ITALY,5
978,1649,JAPAN,
5972,1649,SOUTH KOREA,6.5
979,1650,IRAN,
982,1650,PERU,8.1
9993,1650,GREECE,
9800,1651,PERU,
983,1652,RUSSIA,5.8
984,1652,CHINA,6.8
986,1653,TURKEY,7.5
6025,1653,PHILIPPINES,
990,1654,CHINA,8
991,1654,ITALY,
993,1654,SPAIN,
989,1654,PERU,
994,1655,GREECE,
998,1655,PERU,7.7
999,1656,PERU,
1000,1656,LEBANON,
1002,1657,FRANCE,
1003,1657,CHILE,8
7956,1657,CHINA,6
5744,1657,CHILE,
5973,1657,INDONESIA,
1001,1657,PERU,
7957,1658,CHINA,6
1005,1658,PERU,
1007,1658,GREECE,
1008,1658,PHILIPPINES,
1010,1659,JAPAN,
6879,1659,EL SALVADOR,
1011,1659,ITALY,
6027,1659,INDONESIA,
1014,1660,GREECE,
1016,1660,FRANCE,
1017,1660,ECUADOR,7.7
1013,1660,MOROCCO,
1015,1660,ITALY,
5974,1661,TAIWAN,6
1019,1661,ITALY,
1021,1662,ECUADOR,
1022,1662,MEXICO,
1023,1662,JAPAN,
5975,1662,JAPAN,7.6
1020,1662,GREECE,
1026,1663,CANADA,
1025,1663,NICARAGUA,
1028,1664,PERU,7.3
1030,1664,SOUTH KOREA,6.3
1027,1664,IRAN,
7959,1664,CHINA,5.5
1031,1665,GREECE,
1032,1665,IRAN,
1033,1665,PHILIPPINES,
1034,1666,JAPAN,
5976,1666,JAPAN,6.4
1036,1666,IRAQ,
1040,1667,IRAN,
1042,1667,CROATIA,7.2
1044,1667,MEXICO,
1046,1667,IRAN,
8240,1667,TURKEY,6.6
1047,1667,AZERBAIJAN,6.9
6005,1667,JAPAN,6.7
1039,1667,JAMAICA,
1050,1668,IRAN,
6013,1668,USA,
1052,1668,PAKISTAN,
1053,1668,TURKEY,6.6
1054,1668,CHINA,8.5
5977,1668,NORTH KOREA,6.4
1055,1669,AZERBAIJAN,5.7
1057,1669,ITALY,
1056,1669,INDIA,
1059,1670,AUSTRIA,
6020,1670,CHINA,6.8
1060,1670,SOUTH KOREA,6.3
5978,1670,JAPAN,6.4
1058,1670,IRAN,
1061,1671,AZERBAIJAN,
9814,1671,JAPAN,6.9
1063,1672,ITALY,5.6
5979,1672,GREECE,
1062,1672,GREECE,
1064,1673,DOMINICAN REPUBLIC,
5980,1673,INDONESIA,
5981,1673,INDONESIA,
1066,1673,IRAN,6.6
5982,1673,INDONESIA,
1068,1674,GREECE,
5983,1674,INDONESIA,6.8
5984,1674,INDONESIA,
1071,1674,ECUADOR,7.7
5985,1675,PHILIPPINES,
1073,1676,JAPAN,
1075,1677,JAPAN,8.1
7960,1677,CHINA,5.5
1076,1677,JAPAN,7.4
1077,1677,PHILIPPINES,
1074,1677,JAMAICA,
1078,1678,IRAN,
1079,1678,CUBA,
1080,1678,IRAN,
1081,1678,PERU,8.4
1084,1678,JAPAN,7.4
1086,1679,TURKEY,5.9
1087,1679,CHINA,8
8202,1679,YEMEN,
7961,1679,CHINA,5
1088,1680,CHINA,6.8
10076,1680,JAPAN,
1089,1680,SPAIN,
1090,1681,CHILE,7.5
5987,1681,SOUTH KOREA,
9892,1681,INDONESIA,
1093,1682,FRANCE,
1091,1682,MEXICO,
1092,1682,CUBA,
1095,1683,CHINA,7
1096,1683,IRAN,
1094,1683,ARMENIA,
1097,1684,DOMINICAN REPUBLIC,
1098,1687,JAMAICA,
1099,1687,IRAN,
5988,1687,CHILE,7.5
1101,1687,PERU,8.5
1106,1687,ECUADOR,7.3
1108,1688,ITALY,
1109,1688,JAMAICA,
6012,1688,JAMAICA,
1110,1688,ITALY,
1111,1688,PAKISTAN,
1112,1688,ITALY,
1113,1688,CHINA,6.3
1115,1688,TURKEY,7
1116,1688,GREECE,7.5
1107,1688,RUSSIA,5.3
1117,1689,ECUADOR,6.8
1118,1689,AUSTRIA,
1119,1690,ANTIGUA AND BARBUDA,8
1121,1690,AUSTRIA,
1122,1691,DOMINICAN REPUBLIC,
1126,1692,JAMAICA,
1127,1692,ARGENTINA,7
1124,1692,ARMENIA,
1129,1693,ITALY,6
1128,1693,CUBA,
10180,1694,TAIWAN,5.5
1133,1694,JAPAN,
1134,1694,ITALY,
1136,1695,ITALY,6.2
1138,1695,CHINA,8
1139,1695,ITALY,
1141,1696,IRAN,
1142,1696,GREECE,
1143,1697,MEXICO,
1144,1698,ECUADOR,7.7
1146,1698,ECUADOR,
5989,1698,JAPAN,6.4
1148,1699,SLOVENIA,5
1149,1699,PERU,7.8
1147,1699,PHILIPPINES,
9954,1700,USA,9
